sha,deletions,insertions,net_lines,files,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count
4dfca64ded20512089c015f4913e969989934431,38,99,61,3,0.0,0.34210526315789475,1.0,13331,1936,269,14
a5397b1f23d89a956112f8afe6d7d27146a4ad2c,268,245,-23,11,0.0,1.0,1.0,52151,7488,940,67
922619dfc33572c4f6076fae7e7dce0ec5fe450c,25,107,82,3,0.2,0.78,0.92,9098,1314,209,10
900584ca826b477635c19d9d163f62f2ab468b62,398,926,528,12,0.0,0.9699248120300752,0.9122807017543859,96616,14196,1060,67
9b45107c1e907a8209ad4d38af230f2fa863fd22,49,74,25,14,0.6956521739130435,0.6956521739130435,0.9565217391304348,29977,4710,518,30
01ce9f5b18b23bc86aea0d2a329d08a9a35b539b,39,42,3,6,0.0,0.5,1.0,12591,1893,236,13
516eb4febc5b99980ff5206b8e354e5d781b4a08,0,4031,4031,32,0.38876146788990823,0.6559633027522935,0.9644495412844036,10796,1824,272,46
9199e99e21126e06ec2c0ea43cd47663edd4da90,261,304,43,34,0.0625,0.25,1.0,174838,25830,1971,72
18b29c45c491e492e7eecb29df4d90043a4d937a,5879,20202,14323,165,0.2586756706058901,0.8467454511348715,0.8840742824985931,390416,60724,7731,1140
4a4c63bda0b779b3ccce864e28ee4e50c9411458,113,205,92,10,0.43283582089552236,1.0,1.0,68447,10040,1010,12
1e7eace0663f58d8ed0d5bc61d74a95ab792e377,89,1828,1739,20,0.053636363636363635,0.7909090909090909,0.9827272727272728,135423,21474,1894,31
a3ef6f016e9af3b8c3ebc7d29fbc0f193b68c23e,119,134,15,3,1.0,1.0,0.0,11403,1652,115,6
b36d4e16b6dfad1e756021c0e79f2e524c183e26,1865,2885,1020,44,0.16933333333333334,0.7866666666666666,1.0,175615,28199,2871,106
49056fe70f39e50a1c5b60ca2ffb3e2e02a7ba60,53,49,-4,4,1.0,1.0,1.0,12130,1956,335,17
7839b2d7e0e72a8ee870768d559c949ddca6b703,13,149,136,3,0.5982142857142857,1.0,0.7232142857142857,15100,2278,407,9
fc14f5ab14a77166be5c7674a90669665d57c78c,114,52,-62,12,0.2857142857142857,0.0,0.14285714285714285,38312,5848,885,19
411b6537ef7350a375797abbd2a4f9521a94aca9,13,81,68,3,0.4,0.98,0.22,7477,1203,211,7
0ee456649f95c94b1ee961eb7ed5e01db90a0f97,15,406,391,5,0.15625,0.59375,0.9955357142857143,9518,1505,228,12
796de297c847c69913615948bd37d44fa45d74f1,218595,9719,-208876,818,0.7131218076837664,0.5470658449922274,0.2298884077281812,182281,29850,4639,6356
9b7468f99e503177aa08f01a4fdb3bea22609641,128,120,-8,9,0.0,1.0,1.0,30923,4550,707,34
d7329097b27577aab2cc148c8579bcf70d82b764,9364,129,-9235,55,0.5621212121212121,0.42083333333333334,0.0571969696969697,18336,2890,438,519
e47d7eeddb93bac09b7e5e94231ef5fa17cc112b,453,23199,22746,118,0.3469934269252617,0.7164651464740729,0.8981579160918608,278331,42552,5138,685
33c401a16e36ce27900cacff3a7c07ed49b1b9d1,45,26,-19,4,1.0,0.0,0.0,4239,701,71,11
bf3a53f6d04d4f4e323a00a0ef2a63705e3601cc,0,49,49,1,0.0,1.0,1.0,189,34,4,1
a6d22efb49872eeb21543386908885592855a22e,38,75,37,19,0.05263157894736842,0.9473684210526315,1.0,104638,17290,1650,27
bbf599353492d97867bf62d3c2f7449cdc14ec8f,154,199,45,18,0.29545454545454547,0.0,0.2727272727272727,96264,14553,747,28
097e1645e32502e988463b73a4f218b1057ce2d0,200,501,301,46,0.0,0.6171875,0.7421875,198920,30171,3289,105
ede14b7c54cba42d9a1376544ba2474c0d95a290,1,88,87,8,0.5098039215686274,0.9803921568627451,0.5490196078431373,17283,2808,230,9
5b2e5882b43f3fdf9e32543e0e42568d76d6c040,9,3,-6,2,0.0,0.0,0.0,5696,973,99,1
1b44c1befabc9560f9e7c2582f3007bbcf20b0c5,1,34,33,2,0.0,0.88,1.0,1658,277,40,2
848ad8535bad41e992ac349160f4bdb39433bb87,33,560,527,5,0.02112676056338028,0.5176056338028169,0.778169014084507,20309,3388,159,8
