sha,deletions,insertions,net_lines,files,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count
dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,17,140,123,4,0.05154639175257732,0.5567010309278351,0.8969072164948454,15382,2311,332,17
366bd6f89f365c118c271c5aba1eb032adcc5faf,20,78,58,7,0.019230769230769232,0.8653846153846154,1.0,9563,1709,179,6
26820219cd7b448b10dc5d7f567b1a8857102f60,11,61,50,3,0.0,1.0,1.0,1591,265,27,2
81d7cc41dcebd30a59e5c92c77728e5a3d9b2f9d,9,155,146,4,0.0,0.9712230215827338,1.0,48020,7217,225,4
a76f63a6953a651ceb1b1f7cfdf695f5be54b23d,5,33,28,5,0.0,0.0,1.0,21886,3077,584,3
922619dfc33572c4f6076fae7e7dce0ec5fe450c,25,107,82,3,0.2,0.78,0.92,9098,1314,209,10
6e6cd928a22d03d670089fc1c7a2f66af235d318,8,44,36,3,0.45454545454545453,1.0,1.0,22616,2885,192,2
319a0a08cdc57a9d771cf413a12ec1b668663f91,3,105,102,6,1.0,1.0,1.0,1144,175,20,6
5f5720837b2922f486808db47b5f66d23d7c6061,23,26,3,3,1.0,1.0,0.0,10501,1569,160,4
0c94095dfd7cd633cd7d57e2ff3306681b642819,1,17,16,3,1.0,1.0,1.0,1253,164,41,2
5fe613dd05b05ed0d9e5d0bc3cf1b96368d00e73,2,7,5,2,0.0,1.0,0.0,2025,378,43,1
ca73abdea1f1af3c7a6fb973228c0649a2d4e6df,5,47,42,4,0.75,1.0,1.0,38227,5983,170,2
b2d17ac4487983b49b006928601d296d7466d2a2,54,260,206,5,0.32558139534883723,1.0,0.9767441860465116,15666,2594,197,6
5b6d96d27d80dbff40073e9775f2a2c187cc90c4,185,591,406,17,0.5661764705882353,0.6764705882352942,1.0,63401,9721,1242,49
d451cf261c3e68c63dd3136802bc806a785eda9f,1,39,38,3,0.0,1.0,1.0,7148,1361,155,2
6dc5096143bd7dcc0c978dd30a410e9766157968,1,39,38,3,0.0,1.0,1.0,4408,1000,96,2
e41d6ee60f072c9b07c858a65ae1c02a3d7ac5ab,1,54,53,3,0.0,0.9523809523809523,0.9523809523809523,8005,1642,176,2
c6859b3fb07031e3ea1fcd0230bacb070315d93d,5,12,7,3,1.0,1.0,0.0,4999,729,128,2
b49503682319b25734e198c77954b6ff5b8d41e1,8,19,11,2,0.75,0.75,1.0,6640,1088,193,3
ca0a58ff71eb7e4bbdd82f45663fd9680a796349,21,94,73,4,0.5,0.8913043478260869,1.0,2452,409,65,7
8eb5915f7d7614b1be29fe3a4a0f63ec9d0ce8b1,15,33,18,3,0.4166666666666667,0.75,0.3333333333333333,54008,8021,964,8
a64c9a3e62e4269db304961efda992780b9833a0,20,121,101,3,0.0,1.0,1.0,52689,7858,944,5
848ad8535bad41e992ac349160f4bdb39433bb87,33,560,527,5,0.02112676056338028,0.5176056338028169,0.778169014084507,20309,3388,159,8
dda3e6879146adac2ab992f60510e023aa6b7a2c,5,74,69,3,0.08333333333333333,0.625,1.0,1323,225,43,3
7e1d7803b8b33b22796a7aac3cdf2bcbc3acd69f,1,119,118,3,0.1926605504587156,1.0,1.0,11865,2951,211,4
